id,lat,lon,city,iata,size
6594,65.5129625532949,-168.046875,Tin City,TNC,4
6671,34.30714385628804,-88.9453125,Tupelo,TUP,4
6731,39.90973623453718,-91.0546875,Quincy,UIN,4
6800,61.606396371386275,-165.5859375,Chevak,VAK,4
6820,40.4469470596005,-109.3359375,Vernal,VEL,4
6956,64.6238772020469,-163.4765625,White Mountain,WMO,4
6972,56.559482483762245,-132.5390625,Wrangell,WRG,4
7016,44.590467181308846,-111.09375,West Yellowstone,WYS,4
7110,52.48278022207821,-125.15625,Anahim Lake,YAA,4
7112,51.83577752045248,-91.7578125,Cat Lake,YAC,4
7118,59.5343180010956,-139.5703125,Yakutat,YAK,4
7142,64.32087157990323,-95.9765625,Baker Lake,YBK,4
7164,67.06743335108297,-126.2109375,Colville Lake,YCK,4
7172,63.39152174400882,-90.703125,Chesterfield Inlet,YCS,4
7204,61.10078883158897,-94.21875,Arviat,YEK,4
7224,54.77534585936448,-101.6015625,Flin Flon,YFO,4
